timestamp,ecg_measurement,qrs_detected
6.034140000000000000e+06,1.593352890000000022e+00,0.000000000000000000e+00
6.038012000000000000e+06,1.676441764800000067e+00,0.000000000000000000e+00
6.041904000000000000e+06,1.715542554800000064e+00,0.000000000000000000e+00
6.045784000000000000e+06,1.730205297399999953e+00,0.000000000000000000e+00
6.049652000000000000e+06,1.764418363499999920e+00,0.000000000000000000e+00
6.053532000000000000e+06,1.803519058200000025e+00,0.000000000000000000e+00
6.057412000000000000e+06,1.832844638799999926e+00,0.000000000000000000e+00
6.061296000000000000e+06,1.837732219600000105e+00,0.000000000000000000e+00
6.065180000000000000e+06,1.818181896200000036e+00,0.000000000000000000e+00
6.069064000000000000e+06,1.832844638799999926e+00,0.000000000000000000e+00
6.072948000000000000e+06,1.876832866600000038e+00,0.000000000000000000e+00
6.076836000000000000e+06,1.901270771000000082e+00,0.000000000000000000e+00
6.080708000000000000e+06,1.901270771000000082e+00,0.000000000000000000e+00
6.084572000000000000e+06,1.881720447500000004e+00,0.000000000000000000e+00
6.088452000000000000e+06,1.886608028399999970e+00,0.000000000000000000e+00
6.092320000000000000e+06,1.901270771000000082e+00,0.000000000000000000e+00
6.096192000000000000e+06,1.925708675299999895e+00,0.000000000000000000e+00
6.100064000000000000e+06,1.925708675299999895e+00,0.000000000000000000e+00
6.103940000000000000e+06,1.901270771000000082e+00,0.000000000000000000e+00
6.107816000000000000e+06,1.901270771000000082e+00,0.000000000000000000e+00
6.111688000000000000e+06,1.925708675299999895e+00,0.000000000000000000e+00
6.115568000000000000e+06,1.964809417699999949e+00,0.000000000000000000e+00
6.119444000000000000e+06,1.969696998499999907e+00,0.000000000000000000e+00
6.123312000000000000e+06,1.950146675100000060e+00,0.000000000000000000e+00
6.127200000000000000e+06,1.935483837100000049e+00,0.000000000000000000e+00
6.131088000000000000e+06,1.964809417699999949e+00,0.000000000000000000e+00
6.134964000000000000e+06,2.003910064599999874e+00,0.000000000000000000e+00
6.138820000000000000e+06,2.023460388100000173e+00,0.000000000000000000e+00
6.142692000000000000e+06,2.003910064599999874e+00,0.000000000000000000e+00
6.146548000000000000e+06,2.003910064599999874e+00,0.000000000000000000e+00
6.150412000000000000e+06,2.013685226399999806e+00,0.000000000000000000e+00
6.154280000000000000e+06,2.062561035099999884e+00,0.000000000000000000e+00
6.158148000000000000e+06,2.096774101199999851e+00,0.000000000000000000e+00
6.162020000000000000e+06,2.086998939499999928e+00,0.000000000000000000e+00
6.165892000000000000e+06,2.072336196799999808e+00,0.000000000000000000e+00
6.169772000000000000e+06,2.091886520300000107e+00,0.000000000000000000e+00
6.173636000000000000e+06,2.135874986600000192e+00,0.000000000000000000e+00
6.177516000000000000e+06,2.179863214400000082e+00,0.000000000000000000e+00
6.181396000000000000e+06,2.189638376200000014e+00,0.000000000000000000e+00
6.185276000000000000e+06,2.189638376200000014e+00,0.000000000000000000e+00
6.189156000000000000e+06,2.199413537899999938e+00,0.000000000000000000e+00
6.193036000000000000e+06,2.248289346600000016e+00,0.000000000000000000e+00
6.196924000000000000e+06,2.302052736199999838e+00,0.000000000000000000e+00
6.200804000000000000e+06,2.297165155400000103e+00,0.000000000000000000e+00
6.204692000000000000e+06,2.277614831899999803e+00,0.000000000000000000e+00
6.208572000000000000e+06,2.277614831899999803e+00,0.000000000000000000e+00
6.212452000000000000e+06,2.311827898000000214e+00,0.000000000000000000e+00
6.216324000000000000e+06,2.350928544899999917e+00,0.000000000000000000e+00
6.220196000000000000e+06,2.350928544899999917e+00,0.000000000000000000e+00
6.224076000000000000e+06,2.306940317100000026e+00,0.000000000000000000e+00
6.227948000000000000e+06,2.282502412699999983e+00,0.000000000000000000e+00
6.231828000000000000e+06,2.306940317100000026e+00,0.000000000000000000e+00
6.235700000000000000e+06,2.316715478799999950e+00,0.000000000000000000e+00
6.239580000000000000e+06,2.297165155400000103e+00,0.000000000000000000e+00
6.243460000000000000e+06,2.228739023200000169e+00,0.000000000000000000e+00
6.247324000000000000e+06,2.170088052700000159e+00,0.000000000000000000e+00
6.251196000000000000e+06,2.116324424700000151e+00,0.000000000000000000e+00
6.255084000000000000e+06,2.077223777699999996e+00,0.000000000000000000e+00
6.258964000000000000e+06,2.018572807299999994e+00,0.000000000000000000e+00
6.262832000000000000e+06,1.925708675299999895e+00,0.000000000000000000e+00
6.266700000000000000e+06,1.832844638799999926e+00,0.000000000000000000e+00
6.270580000000000000e+06,1.779081106100000031e+00,0.000000000000000000e+00
6.274456000000000000e+06,1.754643201799999996e+00,0.000000000000000000e+00
6.278328000000000000e+06,1.730205297399999953e+00,0.000000000000000000e+00
6.282196000000000000e+06,1.681329345700000033e+00,0.000000000000000000e+00
6.286084000000000000e+06,1.637341117799999912e+00,0.000000000000000000e+00
6.289972000000000000e+06,1.617790794300000057e+00,0.000000000000000000e+00
6.293856000000000000e+06,1.622678375200000023e+00,0.000000000000000000e+00
